회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
티에스아이,광고 대행업,17년 (2007년 설립),"55억 1,327만원",기타 법인,"4,470만원",-,1개,40명,25명,18명/15명
에이프로,기초 의약 물질 및 생물학적 제제 제조업,24년 (2000년 설립),"81억 5,318만원",주식회사,"3,716만원",www.aprogen.com,1개,210명,313명,82명/105명
소마젠,"기술 시험, 검사 및 분석업",3년 (2021년 설립),-,,"4,235만원",-,1개,2명,,
신도기연,기타 일반 목적용 기계 제조업,24년 (2000년 설립),"394억 6,028만원",주식회사,"5,865만원",www.lcd.co.kr,1개,69명,62명,6명/9명
위더스제약,"의약품, 의료용 기구, 화장품 및 방향제 소매업",20년 (2004년 설립),"646억 8,037만원",주식회사,"4,803만원",withuspharm.com,1개,86명,45명,16명/11명
엠브레인,시장 조사 및 여론 조사업,26년 (1998년 설립),"328억 7,335만원",주식회사,"5,275만원",embrain.com/,1개,282명,268명,95명/95명
젠큐릭스,자연과학 연구개발업,13년 (2011년 설립),"21억 6,660만원",주식회사,"5,902만원",www.gencurix.com,1개,72명,65명,25명/20명
무진메디,자연과학 연구개발업,8년 (2016년 설립),-,주식회사,"4,115만원",www.moogene.com/,1개,20명,21명,0명/3명
HB솔루션,인력 공급업,3년 (2021년 설립),-,,"2,545만원",-,1개,21명,,
에스씨엠생명과학,자연과학 연구개발업,10년 (2014년 설립),"3억 9,598만원",주식회사,"5,309만원",www.scmlifescience.com,1개,57명,49명,19명/13명
휴럼,가공식품 도매업,4년 (2020년 설립),"690억 7,700만원",주식회사,"4,089만원",-,1개,145명,122명,29명/30명
이지바이오,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,4년 (2020년 설립),-,주식회사,"5,349만원",www.easybio.co.kr/,1개,38명,107명,13명/6명
드림씨아이에스,"기술 시험, 검사 및 분석업",24년 (2000년 설립),"261억 5,350만원",주식회사,"4,983만원",www.dreamcis.com,1개,340명,358명,75명/89명
대덕전자,방송 및 무선 통신장비 제조업,18년 (2006년 설립),-,기타 법인,"3,988만원",-,1개,2명,3명,0명/0명
엔피디,육상 운송 지원 서비스업,9년 (2015년 설립),"58억 5,503만원",주식회사,"2,963만원",-,1개,43명,35명,31명/25명
플레이디,광고 대행업,14년 (2010년 설립),"346억 8,049만원",주식회사,"5,086만원",www.playd.com,1개,322명,295명,73명/56명
서울바이오시스,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",22년 (2002년 설립),"2,570억 6,131만원",주식회사,"5,198만원",www.seoulviosys.com/kr/,1개,273명,279명,119명/131명
켄코아에어로스페이스,"항공기, 우주선 및 보조장치 제조업",11년 (2013년 설립),"318억 5,036만원",주식회사,"4,177만원",www.kencoa.com,2개,87명,297명,79명/78명
레몬,-,1년 (2023년 설립),-,,-,-,1개,2명,,
서남,엔지니어링 서비스업,1년 (2023년 설립),-,기타 법인,"3,267만원",-,1개,6명,5명,1명/2명
위세아이텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,34년 (1990년 설립),"378억 9,206만원",주식회사,"3,657만원",www.wise.co.kr,1개,0명,187명,77명/58명
케이씨씨글라스,판유리 및 판유리 가공품 제조업,4년 (2020년 설립),-,기타 법인,"6,032만원",-,1개,549명,405명,23명/9명
세림B&G,,,,,,,,,,
이앤에치,그 외 기타 섬유제품 제조업,23년 (2001년 설립),-,주식회사,"3,902만원",www.hepabest.com,1개,55명,31명,13명/6명
CJ 바이오사이언스,상품 종합 도매업,5년 (2019년 설립),"2조 1,091억 2,508만원",주식회사,"1,680만원",-,2개,"9,155명","6,647명","14,519명/15,121명"
엔에스엠,기계장비 조립용 플라스틱제품 제조업,14년 (2010년 설립),-,주식회사,"3,622만원",www.nsmcc.com,1개,23명,21명,4명/2명
피피아이,건축용 플라스틱제품 제조업,20년 (2004년 설립),-,기타 법인,"5,851만원",-,1개,234명,225명,50명/57명
아이비김영,건물 및 구축물 해체 공사업,5년 (2019년 설립),"585억 9,243만원",주식회사,"4,559만원",www.kimyoung.co.kr,1개,32명,313명,51명/82명
브릿지바이오,자연과학 연구개발업,9년 (2015년 설립),"19억 2,415만원",주식회사,"10,018만원",www.bridgebiorx.com,1개,36명,32명,10명/0명
다보링크,통신 공사업,5년 (2019년 설립),"648억 5,900만원",주식회사,"5,432만원",www.davolink.co.kr,1개,0명,71명,7명/18명
메드팩토,자연과학 연구개발업,11년 (2013년 설립),-,주식회사,"5,833만원",www.medpacto.com,1개,70명,53명,19명/15명
원텍,기타 의료용 기기 제조업,25년 (1999년 설립),"487억 9,159만원",주식회사,"2,436만원",www.wtlaser.com,1개,105명,118명,33명/46명
신테카바이오,자연과학 연구개발업,15년 (2009년 설립),"3억 1,665만원",주식회사,"5,520만원",www.syntekabio.com,1개,48명,66명,11명/23명
제이엘케이,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,10년 (2014년 설립),"38억 2,136만원",주식회사,"9,703만원",jlkgroup.com,1개,85명,73명,38명/52명
태웅로직스,그 외 기타 운송관련 서비스업,28년 (1996년 설립),"8,669억 4,893만원",주식회사,"5,770만원",www.e-tgl.com,1개,343명,374명,59명/79명
윙스풋,신발 소매업,5년 (2019년 설립),"543억 3,700만원",주식회사,"3,841만원",www.wingsfoot.co.kr,2개,156명,71명,22명/24명
노드메이슨,"세제, 화장품 및 광택제 제조업",11년 (2013년 설립),"186억 3,123만원",주식회사,"3,804만원",www.huxley.co.kr,1개,37명,40명,22명/23명
리메드,"기술 시험, 검사 및 분석업",6년 (2018년 설립),-,기타 법인,"5,136만원",-,1개,8명,13명,5명/10명
비올,기타 의료용 기기 제조업,5년 (2019년 설립),"183억 7,272만원",주식회사,"4,288만원",www.viol.co.kr,1개,77명,97명,35명/65명
타스컴,경영 컨설팅 및 공공 관계 서비스업,10년 (2014년 설립),"90억 1,200만원",주식회사,"4,127만원",www.yidobio.com,1개,44명,29명,19명/8명
진코스텍,"세제, 화장품 및 광택제 제조업",14년 (2010년 설립),"148억 8,721만원",주식회사,"2,726만원",www.jincostech.com,1개,159명,111명,26명/38명
웨이버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"19억 3,470만원",,"3,529만원",-,1개,12명,,
유엑스엔,"세제, 화장품 및 광택제 제조업",12년 (2012년 설립),-,주식회사,"5,368만원",uxn.co.kr,1개,33명,38명,17명/12명
씨티알모빌리티,자동차 차체용 신품 부품 제조업,30년 (1994년 설립),-,주식회사,"5,821만원",www.ctrmobility.co.kr,1개,155명,144명,38명/30명
티움바이오,자연과학 연구개발업,8년 (2016년 설립),-,주식회사,"6,587만원",www.tiumbio.com,1개,52명,50명,23명/16명
씨에스베어링,기타 일반 목적용 기계 제조업,17년 (2007년 설립),"948억 4,747만원",주식회사,"6,073만원",www.csbrg.com,1개,21명,29명,6명/9명
우양,"과실, 채소 가공 및 저장 처리업",10년 (2014년 설립),-,기타 법인,"4,525만원",-,1개,19명,11명,7명/4명
코리아에셋투자증권,기타 금융 지원 서비스업,24년 (2000년 설립),-,주식회사,"13,329만원",www.kasset.co.kr,1개,201명,207명,59명/70명
HD현대에너지솔루션,"전동기, 발전기 및 전기 변환장치 제조업",8년 (2016년 설립),"5,595억 693만원",주식회사,"7,450만원",www.hd-hyundaies.co.kr,1개,229명,246명,50명/81명
에스제이그룹,의복 소매업,16년 (2008년 설립),"1,171억 9,765만원",주식회사,"5,560만원",www.sj-group.co.kr,1개,191명,261명,127명/141명
제테마,의료용품 및 기타 의약 관련제품 제조업,15년 (2009년 설립),"459억 9,381만원",주식회사,"4,940만원",www.jetema.com,1개,55명,80명,15명/35명
한화시스템,방송 및 무선 통신장비 제조업,24년 (2000년 설립),2조 895억 66만원,주식회사,"9,157만원",hanwhasystems.com,3개,"4,601명","3,116명",261명/420명
라파스,"세제, 화장품 및 광택제 제조업",18년 (2006년 설립),"163억 1,937만원",주식회사,"5,019만원",www.raphas.com,1개,100명,93명,35명/18명
아이티엠반도체,전자집적회로 제조업,24년 (2000년 설립),"4,885억 3,382만원",주식회사,"4,652만원",www.it-m.co.kr,1개,436명,347명,83명/77명
일승,기계장비 조립용 플라스틱제품 제조업,22년 (2002년 설립),-,기타 법인,"3,575만원",-,1개,21명,15명,5명/4명
자이에스앤디,부동산 관리업,2년 (2022년 설립),-,기타 법인,"3,533만원",-,1개,7명,5명,2명/2명
미디어젠,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),"173억 5,590만원",주식회사,"5,679만원",www.mediazen.co.kr,1개,190명,147명,103명/74명
모코엠시스,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),232억 666만원,주식회사,"6,032만원",www.mocomsys.com,2개,128명,129명,9명/7명
티라유텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,18년 (2006년 설립),"393억 2,688만원",주식회사,"5,996만원",thirautech.com,2개,267명,227명,61명/47명
지누스,상품 중개업,45년 (1979년 설립),"3,331억 7,664만원",주식회사,"7,080만원",www.zinus.co.kr,1개,169명,150명,35명/13명
밸로프,게임 소프트웨어 개발 및 공급업,17년 (2007년 설립),"140억 2,053만원",,"4,038만원",-,1개,128명,,
캐리소프트,그 외 기타 정보 서비스업,10년 (2014년 설립),"37억 3,892만원",주식회사,"3,561만원",www.carriesoft.com,2개,50명,47명,13명/11명
한국미라클피플사,"세제, 화장품 및 광택제 제조업",10년 (2014년 설립),-,주식회사,332만원,www.kmpc.co.kr,1개,110명,64명,46명/43명
케이엔제이,경영 컨설팅 및 공공 관계 서비스업,4년 (2020년 설립),-,기타 법인,"5,852만원",-,1개,2명,3명,1명/0명
엔바이오니아,"냉각, 공기 조화, 여과, 증류 및 가스 발생기 제조업",23년 (2001년 설립),-,주식회사,"3,545만원",envioneer.com,1개,71명,82명,20명/21명
팜스빌,기타 식료품 제조업,24년 (2000년 설립),"389억 5,203만원",주식회사,"3,677만원",www.pharmsville.com,1개,33명,34명,34명/36명
두산퓨얼셀,"전동기, 발전기 및 전기 변환장치 제조업",5년 (2019년 설립),"3,121억 4,900만원",주식회사,"7,664만원",www.doosanfuelcell.com,1개,478명,508명,64명/110명
라온피플,건물설비 설치 공사업,14년 (2010년 설립),"195억 8,176만원",주식회사,"6,037만원",www.laonpeople.com/,3개,109명,132명,45명/59명
솔루스첨단소재,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",5년 (2019년 설립),"1,344억 5,230만원",주식회사,"7,369만원",www.solusadvancedmaterials.com,1개,183명,189명,50명/52명
콘텐트리중앙,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,37년 (1987년 설립),-,주식회사,"6,137만원",www.jcontentree.com/,2개,139명,138명,22명/34명
아톤,"텔레비전, 비디오 및 기타 영상 기기 제조업",29년 (1995년 설립),"2,403억 6,535만원",주식회사,"6,032만원",-,1개,238명,203명,24명/29명
녹십자웰빙,"의약품, 의료용품 및 화장품 도매업",20년 (2004년 설립),"1,097억 2,900만원",주식회사,"6,555만원",www.greencrosswb.com,1개,292명,289명,83명/64명
누보,,,,,,,,,,
포커스에이치엔에스,통신 공사업,5년 (2019년 설립),"616억 2,559만원",주식회사,"5,382만원",www.focushns.com,2개,105명,114명,24명/35명
엔지브이아이,자동차 엔진용 신품 부품 제조업,24년 (2000년 설립),"8억 6,900만원",주식회사,"4,190만원",www.ngvi.co.kr,1개,15명,11명,1명/1명
올리패스,자연과학 연구개발업,18년 (2006년 설립),"4,800만원",주식회사,"7,589만원",www.olipass.com,1개,65명,48명,33명/5명
라닉스,시스템ㆍ응용 소프트웨어 개발 및 공급업,21년 (2003년 설립),"92억 1,469만원",주식회사,"6,487만원",www.ranix.co.kr,1개,82명,79명,25명/24명
한독크린텍,그 외 기타 분류 안된 제품 제조업,21년 (2003년 설립),"526억 5,801만원",주식회사,"4,077만원",hdctech.co.kr,1개,214명,234명,70명/62명
아퓨어스,자연과학 연구개발업,23년 (2001년 설립),"7억 8,547만원",주식회사,"5,655만원",www.apures.com,1개,58명,22명,8명/4명
네오크레마,-,17년 (2007년 설립),229억 827만원,주식회사,"4,400만원",www.cremar.co.kr,1개,66명,70명,16명/14명
마니커에프앤지,육류 가공 및 저장 처리업,20년 (2004년 설립),"849억 2,879만원",주식회사,"4,540만원",www.manikerfng.com,1개,156명,154명,34명/34명
솔트웨어,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),-,주식회사,"4,986만원",saltware.co.kr,1개,0명,123명,19명/34명
나노브릭,사무 지원 서비스업,17년 (2007년 설립),70억 448만원,주식회사,"3,891만원",www.nanobrick.co.kr,1개,0명,48명,26명/18명
에스피시스템스,산업용 로봇 제조업,36년 (1988년 설립),"237억 5,943만원",주식회사,"3,260만원",www.spsystems.co.kr,2개,104명,72명,27명/27명
레이,광고 대행업,11년 (2013년 설립),-,외국 유한회사,"4,812만원",-,1개,631명,877명,349명/561명
그린플러스,재생용 재료 및 기타 상품 전문 도매업,5년 (2019년 설립),-,기타 법인,"2,325만원",-,1개,5명,4명,1명/1명
코윈테크,토목 시설물 건설업,26년 (1998년 설립),"717억 6,005만원",주식회사,"5,782만원",www.cowintech.com,1개,3명,247명,47명/44명
엑스페릭스,회사본부,7년 (2017년 설립),-,주식회사,"5,868만원",www.xperix.com,1개,46명,56명,23명/18명
세경하이테크,표시장치 제조업,18년 (2006년 설립),"1,332억 8,572만원",주식회사,"8,201만원",www.sghitech.co.kr/,1개,202명,209명,24명/49명
캐리,"가방, 시계, 안경 및 기타 생활용품 도매업",2년 (2022년 설립),-,,-,-,1개,4명,,
대모,자동차 제조업,47년 (1977년 설립),"27조 3,285억 5,500만원",주식회사,"11,934만원",www.mobis.co.kr,1개,"11,326명","11,890명","657명/1,005명"
에이스토리,"영화, 비디오물 및 방송 프로그램 제작업",20년 (2004년 설립),"587억 3,769만원",주식회사,"8,105만원",www.astory.co.kr,1개,45명,40명,19명/8명
플리토,그 외 기타 정보 서비스업,12년 (2012년 설립),"97억 1,135만원",주식회사,"3,447만원",www.flitto.com,1개,0명,168명,82명/113명
헥토파이낸셜,경영 컨설팅 및 공공 관계 서비스업,5년 (2019년 설립),"21억 6,260만원",기타 법인,"5,925만원",-,1개,41명,57명,30명/35명
아이스크림에듀,서적 출판업,11년 (2013년 설립),"1,338억 4,200만원",주식회사,"4,738만원",www.i-screamedu.co.kr,1개,0명,360명,166명/103명
펨토바이오메드,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",13년 (2011년 설립),"1억 8,337만원",주식회사,"5,340만원",www.femtobiomed.com,1개,21명,18명,13명/20명
펌텍코리아,건축용 플라스틱제품 제조업,23년 (2001년 설립),"1,594억 7,443만원",주식회사,"3,680만원",www.pum-tech.co.kr,1개,610명,608명,115명/161명
태성,전기 공사업,5년 (2019년 설립),-,주식회사,"4,338만원",-,2개,17명,30명,8명/10명
엠에프엠코리아,"방직용 섬유, 실 및 직물 도매업",5년 (2019년 설립),-,주식회사,"6,214만원",www.mfmkorea.com,1개,33명,7명,34명/6명
압타바이오,자연과학 연구개발업,15년 (2009년 설립),"2억 2,367만원",주식회사,"6,810만원",www.aptabio.com,1개,25명,31명,2명/7명
까스텔바작,의복 소매업,8년 (2016년 설립),-,주식회사,"3,983만원",www.castelbajac.com,1개,61명,39명,13명/12명
마이크로디지탈,방사선 장치 및 전기식 진단 기기 제조업,22년 (2002년 설립),43억 462만원,주식회사,"5,123만원",www.md-best.com,1개,79명,66명,17명/11명
코퍼스코리아,,,,,,,,,,
프로이천,기타 전자 부품 제조업,5년 (2019년 설립),-,주식회사,"3,889만원",-,1개,98명,98명,31명/34명
포스코퓨처엠,일차전지 및 축전지 제조업,53년 (1971년 설립),-,주식회사,"7,799만원",www.poscofuturem.com,5개,"2,402명","2,763명",260명/406명
수젠텍,기타 의료용 기기 제조업,13년 (2011년 설립),772억 104만원,주식회사,"4,565만원",www.sugentech.com,2개,130명,152명,24명/35명
컴퍼니케이,기타 금융 지원 서비스업,18년 (2006년 설립),-,주식회사,"10,565만원",www.kpartners.co.kr,1개,17명,25명,8명/12명
피에스케이,,,,,,,,,,
현대무벡스,비주거용 건물 건설업,5년 (2019년 설립),"2,377억 7,570만원",주식회사,"6,032만원",www.hyundaimovex.com/,1개,449명,515명,68명/171명
TS트릴리온,"세제, 화장품 및 광택제 제조업",5년 (2019년 설립),-,주식회사,"4,097만원",-,1개,51명,51명,16명/18명
이노벡스,엔지니어링 서비스업,11년 (2013년 설립),"30억 9,353만원",주식회사,"4,221만원",www.innovex.co.kr,1개,38명,40명,17명/18명
아모그린텍,기타 거주 복지시설 운영업,6년 (2018년 설립),-,기타 법인,"5,796만원",-,1개,4명,4명,1명/1명
현대오토에버,통신 공사업,24년 (2000년 설립),"1조 6,849억 5,315만원",주식회사,"9,423만원",www.hyundai-autoever.com,2개,"4,984명","5,295명",169명/814명
지노믹트리,"기술 시험, 검사 및 분석업",24년 (2000년 설립),"24억 1,650만원",주식회사,"4,758만원",genomictree.com/ko/,1개,82명,83명,12명/12명
이지케어텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,23년 (2001년 설립),"767억 5,227만원",주식회사,"6,034만원",www.ezcaretech.com,2개,462명,462명,86명/102명
미래에셋벤처투자,신탁업 및 집합 투자업,25년 (1999년 설립),-,주식회사,"15,167만원",venture.miraeasset.co.kr,1개,34명,13명,4명/3명
드림텍,,,,,,,,,,
더블유게임즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"2,133억 6,297만원",주식회사,"8,092만원",www.doubleugames.com,1개,325명,336명,59명/93명
에코프로비엠,기초 유기화학 물질 제조업,8년 (2016년 설립),"1조 4,861억 3,757만원",주식회사,"6,524만원",www.ecoprobm.co.kr,2개,"2,578명","1,420명",138명/305명
셀리드,자연과학 연구개발업,18년 (2006년 설립),9억 909만원,주식회사,"5,404만원",www.cellid.co.kr,1개,70명,60명,29명/24명
우리금융지주,그 외 기타 금융업,5년 (2019년 설립),-,주식회사,"19,480만원",www.woorifg.com/,1개,126명,90명,33명/14명
천보,건물 및 산업설비 청소업,17년 (2007년 설립),-,기타 법인,"4,128만원",-,1개,10명,7명,8명/7명
노랑풍선,여행사업,23년 (2001년 설립),25억 661만원,주식회사,"3,847만원",www.ybtour.com,1개,425명,508명,147명/243명
웹케시,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),225억 775만원,주식회사,"5,144만원",-,1개,0명,158명,27명/43명
엘에이티,기타 특수 목적용 기계 제조업,10년 (2014년 설립),"168억 8,788만원",주식회사,"4,463만원",www.latplasma.com,1개,49명,82명,9명/32명
에어부산,항공 여객 운송업,17년 (2007년 설립),"4,049억 9,300만원",주식회사,"5,170만원",www.airbusan.com,1개,"1,185명","1,201명",227명/349명
비피도,낙농제품 및 식용 빙과류 제조업,25년 (1999년 설립),"117억 6,867만원",주식회사,"3,378만원",bifido.com,1개,77명,93명,35명/38명
유틸렉스,자연과학 연구개발업,9년 (2015년 설립),"2억 2,145만원",주식회사,"6,158만원",www.eutilex.com,1개,0명,134명,38명/79명
디케이티,"부동산 중개, 자문 및 감정 평가업",1년 (2023년 설립),-,기타 법인,"2,953만원",-,1개,2명,6명,1명/5명
아이엘사이언스,조명장치 제조업,6년 (2018년 설립),"384억 8,809만원",주식회사,"5,285만원",www.ilscience.co.kr,2개,50명,54명,14명/14명
애니플러스,,,,,,,,,,
테크엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,주식회사,"5,314만원",-,1개,2명,6명,0명/2명
디와이씨,가공 공작기계 제조업,26년 (1998년 설립),-,기타 법인,"4,105만원",-,1개,7명,16명,1명/3명
위지윅스튜디오,"영화, 비디오물 및 방송 프로그램 제작업",8년 (2016년 설립),"243억 8,309만원",주식회사,"4,434만원",www.wswgstudios.com,1개,0명,35명,87명/14명
국전약품,-,6년 (2018년 설립),"853억 5,422만원",주식회사,"6,379만원",-,1개,109명,94명,19명/40명
에이비엘바이오,자연과학 연구개발업,8년 (2016년 설립),"53억 3,206만원",주식회사,"9,197만원",www.ablbio.com,1개,98명,99명,12명/9명
머큐리,광고 대행업,5년 (2019년 설립),-,기타 법인,"5,850만원",-,1개,26명,49명,26명/33명
전진바이오팜,그 외 기타 화학제품 제조업,20년 (2004년 설립),"77억 9,417만원",주식회사,"3,125만원",www.jjbio.co.kr,1개,76명,72명,79명/81명
뉴트리,식료품 소매업,12년 (2012년 설립),"2,685억 9,985만원",주식회사,"5,086만원",-,2개,167명,149명,62명/43명
비투엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,20년 (2004년 설립),"248억 6,783만원",,"4,275만원",-,1개,147명,,
이노메트리,시스템ㆍ응용 소프트웨어 개발 및 공급업,16년 (2008년 설립),"446억 5,577만원",주식회사,"5,382만원",www.innometry.com,1개,194명,222명,67명/92명
에코캡,재생용 재료 및 기타 상품 전문 도매업,17년 (2007년 설립),738억 728만원,주식회사,"4,017만원",www.ecocab.co.kr,4개,239명,198명,86명/74명
원바이오젠,의료용품 및 기타 의약 관련제품 제조업,6년 (2018년 설립),-,주식회사,"4,009만원",wonbiogen.co.kr,1개,62명,69명,9명/21명
애닉,합성고무 및 플라스틱 물질 제조업,7년 (2017년 설립),-,기타 법인,"3,499만원",-,1개,5명,3명,1명/0명
남화산업,골프장 및 스키장 운영업,34년 (1990년 설립),-,주식회사,"4,456만원",www.muangc.co.kr,2개,104명,62명,18명/9명
엠아이텍,공학 연구개발업,15년 (2009년 설립),-,기타 법인,"5,423만원",-,1개,38명,33명,4명/4명
티로보틱스,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),-,주식회사,"1,200만원",-,1개,9명,7명,5명/1명
네오펙트,시스템ㆍ응용 소프트웨어 개발 및 공급업,14년 (2010년 설립),"40억 9,364만원",주식회사,"3,962만원",www.neofect.com,1개,45명,53명,18명/26명
에이펙스인텍,그 외 기타 사업 지원 서비스업,27년 (1997년 설립),212억 574만원,주식회사,"4,324만원",www.apexint.co.kr,1개,66명,70명,26명/30명
티앤알바이오팹,기타 의료용 기기 제조업,11년 (2013년 설립),"32억 3,467만원",주식회사,"4,617만원",www.tnrbiofab.com,1개,92명,98명,27명/41명
나라소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,22년 (2002년 설립),-,주식회사,"4,066만원",www.narasoft.com,1개,7명,4명,3명/2명
아시아나IDT,"컴퓨터 시스템 통합 자문, 구축 및 관리업",33년 (1991년 설립),"1,813억 6,600만원",주식회사,"6,359만원",www.asianaidt.com,2개,438명,429명,64명/62명
디알젬,방사선 장치 및 전기식 진단 기기 제조업,21년 (2003년 설립),"858억 1,303만원",주식회사,"5,431만원",www.drgem.co.kr,1개,128명,131명,30명/36명
싸이토젠,반도체 및 디스플레이 제조용 기계 제조업,14년 (2010년 설립),"3억 4,784만원",주식회사,"4,920만원",cytogenlab.com,1개,54명,62명,18명/20명
아주IB투자,여신 금융업,50년 (1974년 설립),-,주식회사,"10,875만원",www.ajuib.co.kr,1개,53명,55명,8명/10명
파멥신,공학 연구개발업,16년 (2008년 설립),"6,769만원",주식회사,"6,977만원",www.pharmabcine.com/,1개,39명,34명,12명/11명
디케이앤디,겉옷 제조업,29년 (1995년 설립),"167억 7,510만원",주식회사,"5,219만원",-,1개,26명,23명,9명/4명
퀀텀온,"전동기, 발전기 및 전기 변환장치 제조업",12년 (2012년 설립),-,주식회사,"5,294만원",designcorp.co.kr,1개,15명,13명,39명/41명
노바렉스,기타 식료품 제조업,16년 (2008년 설립),"2,783억 2,736만원",주식회사,"4,899만원",www.novarex.co.kr,1개,396명,415명,88명/105명
셀리버리,기타 종이 및 판지 제품 제조업,26년 (1998년 설립),"321억 3,091만원",주식회사,"3,416만원",-,1개,60명,36명,32명/14명
대보마그네틱,건물설비 설치 공사업,30년 (1994년 설립),"429억 1,955만원",주식회사,"5,782만원",www.daebo.com,2개,72명,95명,81명/72명
노바텍,재생용 재료 및 기타 상품 전문 도매업,17년 (2007년 설립),"173억 5,648만원",주식회사,"7,861만원",www.mynovatech.com,1개,48명,53명,14명/20명
엘앤씨바이오,의료용품 및 기타 의약 관련제품 제조업,13년 (2011년 설립),"361억 6,931만원",주식회사,"4,689만원",www.lncbio.co.kr,1개,106명,129명,31명/38명
네온테크,간판 및 광고물 제조업,18년 (2006년 설립),-,주식회사,"5,852만원",-,1개,3명,4명,1명/0명
로보티즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,25년 (1999년 설립),"200억 2,399만원",주식회사,"5,406만원",www.robotis.com,1개,145명,156명,22명/32명
옵티팜,기타 축산업,16년 (2008년 설립),-,기타 법인,"4,929만원",-,1개,5명,6명,0명/1명
에스퓨얼셀,회사본부,10년 (2014년 설립),"471억 4,698만원",주식회사,"4,000만원",www.s-fuelcell.com/,3개,128명,54명,12명/9명
세아제강,철강관 제조업,64년 (1960년 설립),-,주식회사,"9,840만원",www.seahsteel.co.kr/company/holdings/,1개,44명,57명,13명/26명
푸드나무,통신 판매업,11년 (2013년 설립),"1,668억 3,329만원",주식회사,"3,507만원",www.foodnamoo.com,1개,216명,124명,107명/34명
하나제약,완제 의약품 제조업,46년 (1978년 설립),"2,108억 4,500만원",주식회사,"5,981만원",www.hanaph.co.kr,1개,650명,702명,136명/152명
크리스에프앤씨,기타 봉제의복 제조업,26년 (1998년 설립),"3,759억 3,907만원",주식회사,"5,593만원",www.creas.co.kr,1개,332명,329명,109명/129명
더블유에스아이,"의약품, 의료용품 및 화장품 도매업",6년 (2018년 설립),-,주식회사,"3,827만원",-,1개,28명,33명,5명/9명
한국비티비,기타 기계 및 장비 도매업,0년 (2024년 설립),-,기타 법인,"3,506만원",-,1개,3명,3명,0명/3명
우진아이엔에스,건물설비 설치 공사업,49년 (1975년 설립),-,주식회사,"5,376만원",www.woojini.com,1개,484명,74명,9명/16명
엔피,시스템ㆍ응용 소프트웨어 개발 및 공급업,13년 (2011년 설립),-,주식회사,"4,206만원",-,1개,11명,17명,6명/10명
피엔티엠에스,"섬유, 의복 및 가죽 가공기계 제조업",23년 (2001년 설립),"62억 1,722만원",주식회사,"4,500만원",www.ms-mc.co.kr,1개,43명,54명,20명/28명
엔솔바이오사이언스,시스템ㆍ응용 소프트웨어 개발 및 공급업,23년 (2001년 설립),"8억 5,951만원",주식회사,"6,198만원",www.ensolbio.co.kr,1개,44명,32명,23명/10명
디지캡,시스템ㆍ응용 소프트웨어 개발 및 공급업,24년 (2000년 설립),"164억 1,431만원",주식회사,"6,215만원",www.digicaps.com,1개,99명,111명,11명/18명
지니틱스,엔지니어링 서비스업,6년 (2018년 설립),"276억 1,113만원",주식회사,"7,077만원",www.zinitix.com,1개,81명,81명,15명/11명
액트로,엔지니어링 서비스업,12년 (2012년 설립),"293억 9,980만원",주식회사,"6,626만원",www.actro.co.kr,1개,53명,51명,10명/8명
오파스넷,"컴퓨터 시스템 통합 자문, 구축 및 관리업",20년 (2004년 설립),"1,216억 9,210만원",주식회사,"6,444만원",www.opasnet.co.kr,1개,349명,385명,76명/111명
브이엠,시스템ㆍ응용 소프트웨어 개발 및 공급업,0년 (2024년 설립),"116억 8,359만원",기타 법인,"5,702만원",-,1개,0명,152명,16명/44명
바이오솔루션,식료품 소매업,20년 (2004년 설립),-,주식회사,"4,566만원",-,1개,5명,7명,3명/1명
더콘텐츠온,"영화, 비디오물 및 방송 프로그램 배급업",12년 (2012년 설립),"265억 7,271만원",주식회사,"4,431만원",www.tcokr.com,1개,0명,12명,1명/1명
대유,재생용 재료 및 기타 상품 전문 도매업,18년 (2006년 설립),-,주식회사,"4,082만원",-,1개,22명,22명,15명/15명
디아이티,,,,,,,,,,
