회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
인플루디오,포털 및 기타 인터넷 정보 매개 서비스업,4년 (2020년 설립),"1,594만원",주식회사,"3,034만원",-,1개,59명,91명,54명/81명
닥터다이어리,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"73억 9,793만원",주식회사,"4,250만원",-,1개,47명,51명,35명/34명
두나무,"컴퓨터 시스템 통합 자문, 구축 및 관리업",12년 (2012년 설립),"3조 6,854억 9,011만원",주식회사,"11,176만원",www.dunamu.com,1개,585명,617명,65명/94명
중고나라,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"86억 6,046만원",주식회사,"4,666만원",-,1개,138명,115명,56명/43명
어뮤즈,여행사업,8년 (2016년 설립),"6억 8,374만원",주식회사,"3,093만원",-,1개,19명,15명,8명/6명
웰로,그 외 기타 정보 서비스업,3년 (2021년 설립),-,주식회사,"4,569만원",www.wello.info,1개,15명,31명,20명/33명
리브애니웨어,시스템ㆍ응용 소프트웨어 개발 및 공급업,0년 (2024년 설립),"23억 2,404만원",주식회사,"4,942만원",-,1개,27명,36명,14명/15명
아키스케치,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"8억 6,214만원",주식회사,"4,612만원",-,1개,23명,29명,4명/14명
딜리버리랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"51억 5,949만원",주식회사,"3,997만원",-,1개,59명,42명,23명/19명
올거나이즈코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),10억 855만원,기타 법인,"5,870만원",-,1개,25명,39명,14명/25명
닷슬래시대시,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),350만원,,"5,852만원",-,1개,27명,,
라프텔,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"5,452만원",-,1개,0명,53명,15명/30명
쿼타랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),2억 494만원,주식회사,"4,503만원",-,1개,47명,29명,40명/15명
어바웃펫,통신 판매업,12년 (2012년 설립),"261억 6,965만원",주식회사,"5,068만원",-,1개,82명,57명,44명/26명
플랜핏,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),51만원,주식회사,"3,751만원",-,1개,5명,10명,3명/6명
아정네트웍스,포털 및 기타 인터넷 정보 매개 서비스업,3년 (2021년 설립),"60억 3,106만원",주식회사,"4,037만원",-,1개,151명,316명,176명/330명
파일러,시스템ㆍ응용 소프트웨어 개발 및 공급업,1년 (2023년 설립),-,기타 법인,"5,852만원",-,1개,3명,5명,2명/5명
스캐터랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,13년 (2011년 설립),"7억 6,597만원",주식회사,"5,932만원",-,1개,70명,50명,29명/15명
윙잇,식료품 소매업,9년 (2015년 설립),"174억 9,130만원",,-,-,3개,94명,,
어웨이크코퍼레이션,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"1억 9,293만원",주식회사,"5,796만원",-,1개,8명,5명,9명/6명
로랩스,상품 중개업,6년 (2018년 설립),"20억 7,822만원",주식회사,"3,558만원",-,1개,11명,15명,11명/15명
슈카친구들,"영화, 비디오물 및 방송 프로그램 제작업",4년 (2020년 설립),-,기타 법인,"5,852만원",-,1개,6명,12명,1명/5명
트릴리언즈,통신 판매업,1년 (2023년 설립),-,주식회사,"3,092만원",-,1개,2명,7명,1명/5명
테일러타운,통신 판매업,2년 (2022년 설립),-,주식회사,"4,696만원",-,1개,6명,15명,5명/7명
피스피스스튜디오,기타 봉제의복 제조업,4년 (2020년 설립),-,,-,-,1개,54명,,
마플코퍼레이션,"섬유제품 염색, 정리 및 마무리 가공업",9년 (2015년 설립),"113억 8,575만원",주식회사,"3,791만원",-,1개,108명,146명,90명/99명
지로,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"1억 1,460만원",주식회사,"3,685만원",-,1개,12명,20명,9명/9명
자란다,일반 교습학원,8년 (2016년 설립),"75억 5,774만원",,"4,097만원",-,1개,89명,,
카카오모빌리티,소화물 전문 운송업,7년 (2017년 설립),"4,425억 4,655만원",주식회사,"8,944만원",-,2개,883명,900명,202명/158명
어베어,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,주식회사,"4,366만원",-,1개,7명,23명,16명/27명
딜라이트룸,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),"128억 2,343만원",주식회사,"5,882만원",https://team.alar.my/,1개,25명,33명,6명/12명
그린랩스,통신 공사업,7년 (2017년 설립),"966억 7,209만원",주식회사,"6,032만원",-,1개,5명,107명,64명/63명
트립비토즈,여행사업,8년 (2016년 설립),"25억 5,476만원",주식회사,"4,772만원",-,1개,60명,59명,37명/30명
스펙터,그 외 기타 정보 서비스업,4년 (2020년 설립),-,주식회사,"4,856만원",-,1개,9명,31명,13명/21명
루닛,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),"66억 3,899만원",주식회사,"8,314만원",www.lunit.io,1개,287명,305명,61명/117명
차봇모빌리티,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"103억 6,481만원",주식회사,"4,735만원",-,1개,73명,48명,54명/27명
스터닝,"그 외 기타 전문, 과학 및 기술 서비스업",13년 (2011년 설립),"61억 2,346만원",주식회사,"3,956만원",-,1개,41명,38명,24명/26명
프릿지크루,그 외 기타 정보 서비스업,3년 (2021년 설립),-,주식회사,"4,799만원",-,1개,6명,6명,3명/4명
블래스트,"영화, 비디오물 및 방송 프로그램 제작업",2년 (2022년 설립),-,기타 법인,"5,008만원",-,1개,25명,63명,7명/31명
에이피알,"의약품, 의료용 기구, 화장품 및 방향제 소매업",10년 (2014년 설립),"2,288억 6,782만원",주식회사,"5,363만원",apr-in.com,1개,401명,502명,180명/286명
케어네이션,광고 대행업,3년 (2021년 설립),-,,-,-,1개,1명,,
비엠스마일,그 외 기타 상품 전문 소매업,6년 (2018년 설립),"228억 7,459만원",주식회사,"3,878만원",-,1개,88명,142명,63명/78명
레몬베이스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),비공개,주식회사,비공개,https://lemonbase.com/,1개,비공개,비공개,비공개
무니스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,,"3,573만원",-,2개,5명,,
세컨신드롬,보관 및 창고업,6년 (2018년 설립),"30억 6,989만원",주식회사,"5,058만원",-,1개,37명,47명,23명/37명
아파트멘터리,"도장, 도배 및 내장 공사업",8년 (2016년 설립),193억 477만원,주식회사,"4,516만원",-,2개,149명,95명,52명/69명
니어스랩,"항공기, 우주선 및 보조장치 제조업",9년 (2015년 설립),"9억 3,004만원",기타 법인,"5,932만원",-,1개,80명,80명,42명/40명
패스트레인,광고 대행업,8년 (2016년 설립),"42억 8,819만원",주식회사,"5,179만원",https://www.yeoshin.co.kr/,1개,46명,67명,21명/21명
커피챗,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"5,852만원",-,1개,6명,7명,5명/3명
클로봇,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"46억 5,388만원",기타 법인,"5,416만원",-,1개,102명,144명,29명/65명
커버링,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"1,607만원",주식회사,"3,303만원",-,1개,11명,18명,13명/17명
온다,광고 대행업,5년 (2019년 설립),-,주식회사,"3,242만원",-,1개,11명,6명,21명/18명
서울로보틱스,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"11억 4,197만원",주식회사,"5,476만원",-,1개,49명,49명,19명/14명
풀리오,통신 판매업,2년 (2022년 설립),-,,-,-,1개,3명,,
스매시,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,,-,-,1개,8명,,
어크로스비,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"49억 6,685만원",기타 법인,"5,135만원",-,1개,21명,36명,7명/15명
에이슬립,컴퓨터 프로그래밍 서비스업,4년 (2020년 설립),303만원,주식회사,"5,852만원",-,1개,74명,21명,84명/25명
네오사피엔스,컴퓨터 프로그래밍 서비스업,6년 (2018년 설립),"9억 2,133만원",주식회사,"5,932만원",-,1개,65명,71명,8명/16명
포티파이,게임 소프트웨어 개발 및 공급업,4년 (2020년 설립),"4,055만원",주식회사,"5,239만원",-,1개,19명,11명,9명/2명
인핸스,컴퓨터 프로그래밍 서비스업,3년 (2021년 설립),"8,035만원",주식회사,"5,517만원",-,1개,16명,34명,5명/17명
비엘큐,통신 판매업,5년 (2019년 설립),"48억 4,397만원",주식회사,"4,533만원",-,1개,35명,3명,37명/3명
머스트잇,상품 중개업,12년 (2012년 설립),"199억 4,949만원",주식회사,"4,590만원",-,1개,120명,61명,94명/43명
맘편한세상,고용 알선업,8년 (2016년 설립),"14억 7,176만원",주식회사,"5,588만원",-,1개,42명,27명,36명/34명
브랜드엑스코퍼레이션,통신 판매업,7년 (2017년 설립),"1,477억 7,029만원",주식회사,"4,190만원",www.brandxcorp.com/,1개,210명,209명,68명/80명
프랭크스토어,그 외 기타 정보 서비스업,3년 (2021년 설립),비공개,주식회사,비공개,https://fantrie.com,1개,비공개,비공개,비공개
노머스,"영화, 비디오물 및 방송 프로그램 제작업",5년 (2019년 설립),"92억 1,814만원",주식회사,"4,482만원",-,1개,64명,67명,18명/30명
빌리오,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,주식회사,"3,987만원",-,1개,7명,7명,5명/3명
바잇미,-,7년 (2017년 설립),"110억 5,771만원",,"3,491만원",-,1개,38명,,
오니스트,통신 판매업,4년 (2020년 설립),"12억 7,391만원",주식회사,"3,960만원",-,1개,9명,17명,15명/20명
샌드박스네트워크,게임 소프트웨어 개발 및 공급업,9년 (2015년 설립),"1,136억 7,246만원",주식회사,"4,733만원",-,2개,354명,234명,134명/73명
플록스,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),-,주식회사,"5,843만원",-,1개,13명,14명,2명/2명
뉴로퓨전,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,,"5,882만원",-,1개,15명,,
이너시아,"의약품, 의료용 기구, 화장품 및 방향제 소매업",3년 (2021년 설립),-,주식회사,"2,749만원",-,1개,10명,13명,7명/5명
더파이러츠,신선 식품 및 단순 가공 식품 도매업,6년 (2018년 설립),"451억 3,190만원",주식회사,"3,845만원",-,1개,131명,121명,70명/65명
원더윅스컴퍼니,광고 대행업,3년 (2021년 설립),-,주식회사,"4,476만원",-,1개,9명,17명,5명/7명
카카오헬스케어,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,주식회사,"6,032만원",-,1개,60명,203명,60명/110명
쓰리빌리언,그 외 기타 정보 서비스업,8년 (2016년 설립),"5억 5,065만원",기타 법인,"5,002만원",-,1개,61명,80명,21명/28명
혜움랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"18억 7,153만원",주식회사,"4,878만원",-,1개,54명,52명,20명/20명
어스얼라이언스,그 외 기타 정보 서비스업,12년 (2012년 설립),"19억 1,563만원",주식회사,"4,686만원",-,1개,39명,78명,26명/45명
퍼블리,게임 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"4,746만원",-,1개,33명,81명,17명/49명
스푼라디오,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),"483억 9,623만원",주식회사,"5,816만원",-,1개,107명,121명,44명/55명
딥서치,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),"31억 7,836만원",주식회사,"5,659만원",-,1개,29명,25명,16명/16명
노르마,시스템ㆍ응용 소프트웨어 개발 및 공급업,13년 (2011년 설립),"68억 7,257만원",기타 법인,"4,194만원",-,1개,53명,50명,24명/9명
네이션에이,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,주식회사,"4,289만원",-,1개,8명,19명,8명/17명
위펀,"도장, 도배 및 내장 공사업",6년 (2018년 설립),180억 772만원,주식회사,"3,928만원",-,2개,173명,242명,118명/195명
프리딕션,게임 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,,"3,943만원",-,1개,11명,,
그립컴퍼니,통신 판매업,6년 (2018년 설립),"14억 3,484만원",주식회사,"5,533만원",https://grip.show/,1개,112명,156명,89명/72명
프레시지,통신 판매업,8년 (2016년 설립),"1,889억 1,892만원",,"4,528만원",-,1개,392명,,
튜링,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,기타 법인,"4,871만원",-,1개,9명,13명,6명/11명
띵스플로우,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"17억 3,795만원",주식회사,"5,475만원",-,1개,91명,62명,47명/11명
클래스팅,포털 및 기타 인터넷 정보 매개 서비스업,12년 (2012년 설립),비공개,주식회사,"5,157만원",https://www.classting.com/,1개,76명,89명,28명/45명
세모컴퍼니,"의약품, 의료용품 및 화장품 도매업",3년 (2021년 설립),-,주식회사,"4,482만원",-,1개,13명,32명,14명/36명
디에스글로벌,기타 전자 부품 제조업,14년 (2010년 설립),"564억 4,590만원",주식회사,"4,984만원",-,1개,72명,61명,30명/37명
티피씨인터넷,게임 소프트웨어 개발 및 공급업,4년 (2020년 설립),"19억 1,617만원",,"4,215만원",-,1개,22명,,
베링랩,"그 외 기타 전문, 과학 및 기술 서비스업",4년 (2020년 설립),"4억 3,686만원",주식회사,"5,189만원",-,1개,15명,20명,10명/15명
딥엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),-,기타 법인,"5,932만원",-,1개,38명,67명,16명/33명
테크타카,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"14억 4,397만원",주식회사,"5,659만원",argoport.com,1개,68명,62명,20명/14명
마키나락스,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"14억 1,655만원",주식회사,"6,032만원",-,1개,68명,117명,20명/35명
밸런스히어로,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"51억 7,152만원",기타 법인,"5,882만원",-,1개,43명,44명,2명/4명
바인드,게임 소프트웨어 개발 및 공급업,13년 (2011년 설립),"2,479억 6,148만원",주식회사,"4,082만원",-,1개,"1,054명","1,195명",714명/876명
피에프씨테크놀로지스,여신 금융업,9년 (2015년 설립),비공개,주식회사,비공개,www.peoplefund.co.kr/,1개,비공개,비공개,비공개
센트비,그 외 기타 금융업,9년 (2015년 설립),-,기타 법인,"5,252만원",-,1개,55명,161명,26명/133명
야나두,,,,,,,,,,
팀프레시,그 외 기타 운송관련 서비스업,6년 (2018년 설립),"702억 1,077만원",주식회사,"4,041만원",-,3개,371명,381명,219명/202명
굿닥,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"43억 3,123만원",주식회사,"5,028만원",-,1개,61명,28명,51명/13명
원프레딕트,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"24억 9,429만원",기타 법인,"5,919만원",-,1개,79명,52명,65명/38명
먼치팩토리,그 외 기타 정보 서비스업,5년 (2019년 설립),"29억 1,928만원",주식회사,"4,956만원",-,1개,12명,23명,17명/19명
코드스테이츠,그 외 기타 교육기관,6년 (2018년 설립),"123억 8,325만원",주식회사,"5,405만원",-,1개,192명,31명,101명/23명
비프로컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"22억 5,812만원",주식회사,"4,615만원",-,1개,46명,15명,8명/6명
프렌즈큐브,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),-,주식회사,"5,852만원",-,1개,2명,5명,0명/1명
에스알파테라퓨틱스,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),-,기타 법인,"5,882만원",-,1개,36명,43명,8명/16명
피처링,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"18억 9,697만원",주식회사,"4,810만원",-,1개,12명,30명,10명/26명
에이비일팔공,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"134억 4,566만원",주식회사,"5,613만원",-,1개,105명,131명,51명/53명
북아이피스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"4,723만원",-,1개,23명,47명,26명/45명
지에프에프지,기타 간이 음식점업,7년 (2017년 설립),"398억 7,393만원",유한회사,"3,028만원",-,1개,153명,630명,"613명/1,124명"
슈퍼브에이아이,컴퓨터 프로그래밍 서비스업,6년 (2018년 설립),26억 339만원,기타 법인,"5,882만원",-,1개,86명,49명,38명/23명
비주얼,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),-,기타 법인,"4,944만원",-,1개,18명,19명,12명/7명
웨이커,그 외 기타 정보 서비스업,4년 (2020년 설립),"3억 5,454만원",기타 법인,"4,696만원",-,1개,24명,34명,18명/25명
마이프랜차이즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),4억 392만원,주식회사,"5,512만원",https://myfranchise.kr/,1개,42명,35명,16명/8명
프렌트립,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"16억 8,194만원",주식회사,"4,500만원",-,1개,56명,23명,24명/21명
쿠캣,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"434억 5,290만원",주식회사,"4,798만원",-,1개,113명,107명,40명/40명
하이퍼커넥트,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"1,819억 5,486만원",유한책임회사,"6,032만원",-,1개,329명,358명,66명/117명
인플루엔셜,경영 컨설팅 및 공공 관계 서비스업,16년 (2008년 설립),198억 151만원,주식회사,"4,744만원",-,1개,96명,101명,27명/27명
플레이스5,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),비공개,주식회사,비공개,https://inc.place5.com/,1개,비공개,비공개,비공개
올빅뎃,그 외 기타 정보 서비스업,5년 (2019년 설립),비공개,주식회사,비공개,https://allbigdat.com,1개,비공개,비공개,비공개
스트라드비젼,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"39억 8,626만원",기타 법인,"6,032만원",-,1개,291명,251명,58명/27명
콕스웨이브,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),-,주식회사,"4,909만원",-,2개,8명,20명,6명/13명
스카이랩스,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",9년 (2015년 설립),"1억 2,450만원",주식회사,비공개,www.skylabs.io,1개,43명,65명,10명/29명
아이쿠카,시스템ㆍ응용 소프트웨어 개발 및 공급업,1년 (2023년 설립),-,주식회사,"5,125만원",-,1개,12명,15명,10명/11명
지엔에이컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"5억 6,003만원",주식회사,"3,891만원",-,1개,31명,38명,21명/25명
김캐디,포털 및 기타 인터넷 정보 매개 서비스업,4년 (2020년 설립),"7억 3,809만원",주식회사,"4,635만원",-,1개,27명,32명,7명/10명
후루츠패밀리컴퍼니,게임 소프트웨어 개발 및 공급업,5년 (2019년 설립),-,,"5,165만원",-,1개,4명,,
웨인힐스브라이언트에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),-,,"4,029만원",-,1개,20명,,
스톤아이,통신 판매업,8년 (2016년 설립),"4억 4,236만원",주식회사,"5,066만원",-,1개,19명,18명,13명/9명
한국시니어연구소,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),2억 733만원,주식회사,"5,042만원",-,1개,42명,11명,25명/5명
버즈빌,광고 대행업,11년 (2013년 설립),"596억 7,272만원",주식회사,"5,994만원",-,1개,113명,106명,36명/28명
펫타버스,"가전제품, 통신장비 및 부품 도매업",4년 (2020년 설립),-,주식회사,"4,673만원",-,1개,15명,18명,10명/10명
세컨드유레카,경영 컨설팅 및 공공 관계 서비스업,4년 (2020년 설립),-,기타 법인,"5,852만원",-,1개,3명,8명,3명/3명
에어스메디컬,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"1,398만원",기타 법인,"5,543만원",-,1개,93명,93명,42명/45명
셀렉트스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"52억 6,743만원",주식회사,"4,113만원",-,1개,11명,123명,68명/117명
설로인,가공식품 도매업,7년 (2017년 설립),"195억 5,053만원",주식회사,"4,418만원",-,1개,147명,117명,88명/84명
에이아이포펫,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"2억 4,409만원",,"4,828만원",-,1개,27명,,
부릉,그 외 기타 사업 지원 서비스업,11년 (2013년 설립),-,주식회사,"5,454만원",-,1개,168명,178명,75명/94명
식스티헤르츠,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),"4,528만원",,"5,020만원",-,1개,9명,,
키햐,통신 판매업,2년 (2022년 설립),-,주식회사,"4,120만원",-,1개,4명,11명,1명/5명
마이노멀컴퍼니,통신 판매업,6년 (2018년 설립),"42억 5,239만원",주식회사,"4,684만원",http://mynormal.shop,1개,17명,26명,3명/12명
하이퍼리즘,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"9억 5,814만원",,"5,294만원",https://www.hyperithm.com/,1개,17명,,
카펜스트리트,컴퓨터 프로그래밍 서비스업,5년 (2019년 설립),32억 919만원,주식회사,"5,190만원",https://www.acon3d.com/ko/toon,1개,44명,37명,37명/23명
안다르,경영 컨설팅 및 공공 관계 서비스업,21년 (2003년 설립),"474억 9,440만원",주식회사,"4,364만원",www.echomarketing.co.kr,1개,280명,317명,143명/180명
키즈노트,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"106억 7,942만원",주식회사,"5,382만원",-,1개,97명,121명,55명/46명
구다이글로벌,"의약품, 의료용품 및 화장품 도매업",7년 (2017년 설립),"116억 6,355만원",주식회사,"5,303만원",-,1개,27명,51명,3명/27명
에스더포뮬러,식료품 소매업,16년 (2008년 설립),"857억 9,988만원",주식회사,"5,658만원",-,1개,113명,142명,35명/63명
라라스윗,가공식품 도매업,5년 (2019년 설립),비공개,주식회사,비공개,서울시 강남구 테헤란로 425,2개,39명,71명,31명/60명
다비오,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"10억 7,997만원",주식회사,"5,632만원",-,1개,49명,61명,15명/25명
세븐픽쳐스,컴퓨터 프로그래밍 서비스업,8년 (2016년 설립),-,주식회사,"4,494만원",-,1개,4명,8명,5명/4명
코멘토,,,,,,,,,,
딥핑소스,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"7억 4,375만원",기타 법인,"5,517만원",-,1개,50명,48명,24명/17명
타운즈,그 외 기타 정보 서비스업,4년 (2020년 설립),-,기타 법인,"4,755만원",-,1개,17명,16명,6명/2명
아이리스브라이트,통신 판매업,4년 (2020년 설립),"745억 1,515만원",주식회사,"3,380만원",-,1개,31명,106명,41명/68명
나노실리콘,일차전지 및 축전지 제조업,1년 (2023년 설립),-,기타 법인,"5,852만원",-,1개,5명,8명,0명/2명
귤메달,식료품 소매업,3년 (2021년 설립),-,주식회사,"2,632만원",-,1개,2명,6명,5명/6명
웰트,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"7억 1,853만원",주식회사,"5,274만원",-,1개,20명,25명,9명/12명
로쉬코리아,그 외 기타 정보 서비스업,4년 (2020년 설립),-,,"4,044만원",-,1개,9명,,
고퀄,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),94억 699만원,주식회사,"4,647만원",-,1개,52명,50명,20명/15명
콴텍,기타 금융 지원 서비스업,1년 (2023년 설립),-,기타 법인,"5,882만원",-,1개,38명,42명,20명/24명
모드하우스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),비공개,,비공개,www.mod-haus.com,1개,비공개,,
코넥시오에이치,,,,,,,,,,
파마브로스,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,주식회사,"4,878만원",-,1개,11명,23명,12명/26명
니더,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"1억 4,636만원",,"4,314만원",-,1개,19명,,
엔라이즈,식료품 소매업,9년 (2015년 설립),"204억 2,771만원",주식회사,"4,917만원",-,1개,51명,40명,33명/33명
뷰티셀렉션,상품 중개업,4년 (2020년 설립),"157억 3,583만원",주식회사,"4,637만원",-,1개,127명,82명,69명/39명
토스랩,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,10년 (2014년 설립),"39억 8,949만원",주식회사,"5,882만원",jandi.com,1개,48명,32명,27명/12명
빗썸코리아,통신 판매업,10년 (2014년 설립),"1조 99억 2,502만원",주식회사,"9,928만원",https://bithumbcorp.com/ko/,1개,355명,432명,87명/159명
만나코퍼레이션,포털 및 기타 인터넷 정보 매개 서비스업,7년 (2017년 설립),"19억 8,507만원",주식회사,"2,643만원",-,1개,180명,52명,97명/38명
퀄슨,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"52억 9,060만원",주식회사,"5,515만원",-,1개,135명,61명,106명/34명
오픈갤러리,그 외 기타 사업 지원 서비스업,11년 (2013년 설립),"41억 5,624만원",주식회사,"3,040만원",-,1개,58명,58명,34명/33명
오렌지스퀘어,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),-,주식회사,"4,328만원",-,1개,27명,59명,19명/50명
파이온코퍼레이션,광고 대행업,5년 (2019년 설립),비공개,주식회사,비공개,www.vcat.ai,1개,44명,52명,15명/16명
피유엠피,스포츠 및 레크리에이션 용품 임대업,5년 (2019년 설립),"112억 4,115만원",,"3,778만원",-,1개,67명,,
이브로드캐스팅,그 외 기타 정보 서비스업,6년 (2018년 설립),"148억 1,387만원",주식회사,"4,774만원",-,2개,40명,60명,26명/17명
에이치에너지,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"114억 8,122만원",주식회사,"4,021만원",-,2개,75명,119명,47명/79명
파스토,보관 및 창고업,6년 (2018년 설립),"129억 1,855만원",주식회사,"5,932만원",-,1개,140명,86명,87명/47명
그렙,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),80억 868만원,주식회사,"5,538만원",-,1개,123명,98명,23명/24명
코리아포트원,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),-,,-,-,1개,57명,,
비브로스,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"16억 5,556만원",주식회사,"5,932만원",-,1개,51명,63명,8명/12명
스티비,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),비공개,주식회사,비공개,https://www.flextv.co.kr/,1개,비공개,비공개,비공개
어댑트,"세제, 화장품 및 광택제 제조업",7년 (2017년 설립),"471억 8,034만원",주식회사,"4,490만원",-,1개,63명,124명,32명/70명
다노,시스템ㆍ응용 소프트웨어 개발 및 공급업,11년 (2013년 설립),202억 240만원,주식회사,"4,006만원",-,1개,61명,5명,15명/1명
메인라인,시스템ㆍ응용 소프트웨어 개발 및 공급업,19년 (2005년 설립),"71억 3,931만원",주식회사,"5,436만원",http://www.mainlineit.com/,2개,55명,72명,18명/34명
