회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
아이트럭,포털 및 기타 인터넷 정보 매개 서비스업,4년 (2020년 설립),-,주식회사,"4,228만원",-,1개,14명,19명,16명/20명
플렉스,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,5년 (2019년 설립),-,주식회사,"4,616만원",-,1개,50명,67명,28명/51명
비바리퍼블리카,일반은행,4년 (2020년 설립),-,기타 법인,"6,032만원",-,1개,456명,596명,80명/213명
마인이스,통신 판매업,2년 (2022년 설립),-,주식회사,"3,748만원",-,1개,20명,78명,22명/72명
헬스포트,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),-,기타 법인,"4,033만원",-,1개,17명,25명,19명/15명
백패커,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"515억 8,055만원",주식회사,"4,944만원",-,1개,253명,181명,155명/59명
의식주컴퍼니,세탁업,6년 (2018년 설립),"130억 2,390만원",주식회사,"3,765만원",-,1개,704명,529명,462명/416명
야놀자,"도장, 도배 및 내장 공사업",17년 (2007년 설립),"2,809억 1,004만원",주식회사,"9,377만원",www.yanolja.com,1개,1명,903명,447명/236명
화이트큐브,그 외 기타 정보 서비스업,6년 (2018년 설립),"57억 2,000만원",주식회사,"5,127만원",https://chlngers.com/,1개,28명,30명,21명/30명
휴베이스,경영 컨설팅 및 공공 관계 서비스업,10년 (2014년 설립),-,유한회사,"5,181만원",-,1개,13명,20명,4명/4명
문토,기타 창작 및 예술관련 서비스업,5년 (2019년 설립),"3억 1,952만원",,"3,656만원",-,1개,12명,,
트릿지,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"265억 2,790만원",주식회사,"5,146만원",-,1개,200명,153명,116명/57명
딥다이브,통신 판매업,2년 (2022년 설립),"1억 6,936만원",주식회사,"4,495만원",-,1개,0명,72명,26명/63명
한국신용데이터,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),"39억 4,920만원",주식회사,"6,032만원",-,1개,102명,182명,42명/87명
넥스트그라운드,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),비공개,주식회사,비공개,-,1개,비공개,비공개,비공개
미리디,인쇄관련 산업,16년 (2008년 설립),"193억 1,884만원",주식회사,"4,849만원",-,1개,260명,353명,107명/206명
달파,육류 가공 및 저장 처리업,5년 (2019년 설립),-,기타 법인,"3,148만원",-,1개,26명,27명,3명/2명
번개장터,게임 소프트웨어 개발 및 공급업,13년 (2011년 설립),"249억 5,727만원",주식회사,"5,399만원",-,1개,197명,186명,87명/86명
업스테이지,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"58억 1,988만원",주식회사,"6,032만원",-,1개,137명,139명,32명/41명
핏펫,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"223억 4,887만원",주식회사,"5,142만원",-,1개,175명,88명,57명/35명
데일리샷,통신 판매업,6년 (2018년 설립),"4억 3,256만원",주식회사,"4,965만원",-,1개,35명,39명,5명/9명
브레이브모바일,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"151억 8,164만원",주식회사,"5,235만원",-,1개,117명,122명,50명/51명
자비스앤빌런즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),"313억 5,932만원",주식회사,"6,032만원",-,1개,113명,175명,65명/86명
티오더,시스템ㆍ응용 소프트웨어 개발 및 공급업,8년 (2016년 설립),-,,"4,627만원",-,1개,14명,,
발란,통신 판매업,9년 (2015년 설립),"521억 7,961만원",주식회사,"5,286만원",-,1개,112명,53명,48명/30명
데이원컴퍼니,교육 지원 서비스업,7년 (2017년 설립),"849억 7,387만원",주식회사,"4,212만원",-,1개,445명,475명,302명/380명
스테이폴리오,기타 여행 보조 및 예약 서비스업,9년 (2015년 설립),"34억 8,888만원",주식회사,"3,960만원",-,1개,57명,43명,30명/12명
모두싸인,시스템ㆍ응용 소프트웨어 개발 및 공급업,9년 (2015년 설립),비공개,주식회사,"5,611만원",https://modusign.co.kr/,1개,67명,77명,19명/21명
프리윌린,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),비공개,주식회사,"4,847만원",https://freewheelin-recruit.oopy.io/,1개,0명,130명,44명/69명
보이저엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"8억 3,883만원",주식회사,"5,095만원",-,1개,57명,64명,32명/33명
우아한형제들,시스템ㆍ응용 소프트웨어 개발 및 공급업,13년 (2011년 설립),"2조 291억 6,836만원",주식회사,"6,082만원",-,2개,"2,178명","2,227명",312명/392명
이그니스,가공식품 도매업,9년 (2015년 설립),"145억 8,508만원",주식회사,"5,280만원",-,1개,84명,123명,62명/95명
필라이즈,그 외 기타 정보 서비스업,3년 (2021년 설립),-,주식회사,"5,852만원",-,1개,9명,16명,0명/5명
페이히어,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"13억 9,192만원",기타 법인,"4,131만원",-,1개,178명,248명,131명/189명
두들린,,,,,,,,,,
비바이노베이션,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),"11억 5,497만원",주식회사,"4,725만원",-,1개,38명,41명,9명/14명
아토머스,"자료 처리, 호스팅 및 관련 서비스업",8년 (2016년 설립),"22억 1,570만원",주식회사,"3,763만원",-,1개,87명,80명,70명/56명
로앤컴퍼니,경영 컨설팅 및 공공 관계 서비스업,12년 (2012년 설립),41억 322만원,주식회사,"5,884만원",-,1개,59명,55명,17명/22명
아이헤이트플라잉버그스,일반 교습학원,12년 (2012년 설립),비공개,주식회사,비공개,https://careers.mildang.kr/,1개,439명,545명,238명/349명
드라마앤컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"57억 9,914만원",주식회사,"5,551만원",-,1개,155명,236명,77명/157명
데이터라이즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"3억 8,762만원",주식회사,"5,882만원",-,1개,31명,44명,17명/12명
크림,시스템ㆍ응용 소프트웨어 개발 및 공급업,3년 (2021년 설립),"32억 8,494만원",주식회사,"5,587만원",-,1개,74명,187명,142명/174명
페이타랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),비공개,주식회사,비공개,https://recruit.passorder.co.kr/,1개,47명,67명,18명/23명
월급쟁이부자들,그 외 기타 교육기관,6년 (2018년 설립),"118억 3,618만원",주식회사,"5,677만원",https://career.weolbu.com,1개,63명,78명,55명/71명
글로랑,교육 지원 서비스업,6년 (2018년 설립),"16억 1,721만원",주식회사,"4,319만원",-,1개,56명,52명,40명/38명
라포테이블,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),-,,-,-,1개,15명,,
버핏서울,기타 스포츠 서비스업,6년 (2018년 설립),"126억 2,586만원",주식회사,비공개,team.butfitseoul.com,1개,47명,88명,42명/55명
인티그레이션,통신 판매업,5년 (2019년 설립),비공개,주식회사,비공개,https://careers.medistream.co.kr/,1개,비공개,비공개,비공개
캐비지,통신 판매업,3년 (2021년 설립),"4억 8,347만원",주식회사,"3,497만원",-,1개,34명,19명,21명/16명
쏘카,자동차 임대업,13년 (2011년 설립),"2,849억 5,380만원",주식회사,"5,833만원",www.socarcorp.kr,1개,432명,444명,119명/140명
펫프렌즈,그 외 기타 상품 전문 소매업,9년 (2015년 설립),"610억 1,291만원",주식회사,"5,122만원",-,1개,129명,118명,50명/42명
리디,컴퓨터 프로그래밍 서비스업,16년 (2008년 설립),"1,990억 7,316만원",주식회사,"5,381만원",-,2개,681명,436명,140명/81명
크몽,시스템ㆍ응용 소프트웨어 개발 및 공급업,12년 (2012년 설립),"176억 6,481만원",주식회사,비공개,https://kmong.com/,1개,0명,141명,61명/58명
아우름플래닛,게임 소프트웨어 개발 및 공급업,11년 (2013년 설립),"3억 3,943만원",주식회사,"5,853만원",-,1개,29명,39명,9명/20명
인프랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"128억 5,334만원",주식회사,"5,713만원",-,1개,63명,73명,13명/22명
케어닥,그 외 기타 정보 서비스업,6년 (2018년 설립),비공개,주식회사,비공개,https://carecoordi.kr/,1개,82명,62명,58명/40명
쿠팡,통신 판매업,3년 (2021년 설립),"20조 3,634억 9,800만원",주식회사,"5,088만원",-,1개,0명,"10,985명","3,693명/5,545명"
인터스텔라,,,,,,,,,,
고이장례연구소,장례식장 및 관련 서비스업,3년 (2021년 설립),-,,"3,889만원",-,1개,7명,,
뉴넥스,시스템ㆍ응용 소프트웨어 개발 및 공급업,10년 (2014년 설립),"1,261억 9,314만원",주식회사,"4,368만원",-,1개,444명,140명,81명/42명
브레인커머스,그 외 기타 정보 서비스업,11년 (2013년 설립),"92억 7,951만원",주식회사,"5,091만원",-,1개,85명,123명,45명/52명
스페이스브이,시스템ㆍ응용 소프트웨어 개발 및 공급업,6년 (2018년 설립),-,주식회사,"4,669만원",-,1개,13명,23명,10명/20명
지바이크,스포츠 및 레크리에이션 용품 임대업,7년 (2017년 설립),"335억 3,481만원",주식회사,"3,475만원",-,1개,282명,361명,154명/226명
데일리페이,그 외 기타 정보 서비스업,0년 (2024년 설립),-,주식회사,"5,852만원",-,1개,1명,7명,0명/7명
스칼라데이터,자동차 신품 부품 및 내장품 판매업,5년 (2019년 설립),비공개,,비공개,https://evmodu.kr/,1개,21명,,
넛지헬스케어,시스템ㆍ응용 소프트웨어 개발 및 공급업,7년 (2017년 설립),"463억 3,344만원",주식회사,"4,103만원",-,1개,168명,225명,125명/168명
그래비티랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,2년 (2022년 설립),비공개,기타 법인,비공개,https://gravitylabs.career.greetinghr.com/,1개,비공개,비공개,비공개
핀다,그 외 기타 정보 서비스업,9년 (2015년 설립),297억 665만원,주식회사,"5,771만원",-,1개,110명,114명,62명/48명
버드뷰,게임 소프트웨어 개발 및 공급업,10년 (2014년 설립),"156억 7,052만원",주식회사,"6,032만원",-,1개,214명,146명,109명/26명
엘박스,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,5년 (2019년 설립),"2,154만원",,"5,303만원",-,1개,12명,,
어글리랩,"지정 외 폐기물 수집, 운반업",3년 (2021년 설립),-,주식회사,"3,211만원",-,1개,24명,32명,23명/36명
왓타임,그 외 기타 정보 서비스업,2년 (2022년 설립),-,주식회사,"4,444만원",-,1개,4명,11명,4명/10명
마야크루,광고 대행업,8년 (2016년 설립),비공개,,비공개,www.superchart.com,1개,비공개,,
티몬,그 외 기타 사업 지원 서비스업,14년 (2010년 설립),"1,290억 8,939만원",주식회사,"3,073만원",-,1개,514명,372명,467명/256명
타임앤코,그 외 기타 정보 서비스업,3년 (2021년 설립),-,,"4,595만원",-,1개,13명,,
아이브,시스템ㆍ응용 소프트웨어 개발 및 공급업,4년 (2020년 설립),"4억 5,331만원",기타 법인,"5,763만원",-,1개,57명,67명,11명/16명
라이언로켓,시스템ㆍ응용 소프트웨어 개발 및 공급업,5년 (2019년 설립),"6억 7,157만원",주식회사,"4,196만원",-,1개,36명,31명,16명/28명
