회사,표준산업분류,연혁,매출액,기업유형,평균연봉,홈페이지,고용보험 사업장 수,고용보험 가입 사원수,국민연금 가입 사원수,퇴사/입사 (1년)
에프에스티,육류 가공 및 저장 처리업,6년 (2018년 설립),-,주식회사,"3,306만원",-,1개,4명,6명,0명/1명
코맥스,,,,,,,,,,
EG,일반 및 생활 숙박시설 운영업,9년 (2015년 설립),-,주식회사,"4,608만원",-,1개,441명,"1,816명","230명/1,833명"
감성코퍼레이션,"생활용 섬유제품, 의복, 의복 액세서리 및 모피제품 도매업",30년 (1994년 설립),"1,174억 115만원",주식회사,"4,864만원",www.gamsungcorp.co.kr,1개,58명,94명,20명/37명
성도이엔지,기타 플라스틱 제품 제조업,18년 (2006년 설립),"248억 5,698만원",기타 법인,"2,858만원",-,1개,23명,39명,29명/35명
제일테크노스,구조용 금속제품 제조업,6년 (2018년 설립),-,기타 법인,"5,852만원",-,1개,19명,8명,9명/0명
한세예스24홀딩스,경영 컨설팅 및 공공 관계 서비스업,42년 (1982년 설립),-,주식회사,"8,528만원",www.hansaeyes24.com,1개,26명,34명,11명/17명
세종텔레콤,전기 공사업,32년 (1992년 설립),"2,262억 320만원",주식회사,"6,598만원",www.sejongtelecom.net,3개,616명,98명,236명/51명
심텍홀딩스,그 외 기타 금융업,37년 (1987년 설립),-,주식회사,"7,288만원",www.simmtechholdings.co.kr,1개,23명,22명,4명/8명
파세코,가정용 비전기식 조리 및 난방 기구 제조업,38년 (1986년 설립),"2,004억 7,500만원",주식회사,"5,099만원",www.paseco.co.kr,1개,362명,239명,74명/48명
SGC E&C,,,,,,,,,,
영풍정밀,회사본부,41년 (1983년 설립),"890억 6,600만원",주식회사,"7,564만원",www.yppc.co.kr,2개,85명,242명,43명/48명
서희건설,-,42년 (1982년 설립),"1조 3,055억 6,678만원",주식회사,"7,632만원",www.seohee.co.kr,2개,254명,675명,147명/113명
주성엔지니어링,기타 특수 목적용 기계 제조업,29년 (1995년 설립),"3,770억 1,996만원",주식회사,"8,470만원",www.jseng.com,1개,519명,497명,78명/82명
케이티알파,"영화, 비디오물 및 방송 프로그램 배급업",33년 (1991년 설립),"4,695억 7,400만원",주식회사,"6,165만원",www.ktalpha.com,1개,615명,608명,116명/110명
대성홀딩스,경영 컨설팅 및 공공 관계 서비스업,41년 (1983년 설립),-,주식회사,"7,034만원",http://www.daesung-holdings.com,2개,19명,20명,2명/4명
다우데이타,그 외 기타 사업 지원 서비스업,32년 (1992년 설립),"2,171억 7,184만원",주식회사,"5,938만원",www.daoudata.co.kr,1개,211명,213명,37명/34명
동진쎄미켐,자연과학 연구개발업,51년 (1973년 설립),"7,937억 3,079만원",주식회사,"7,372만원",www.dongjin.com,4개,"1,067명",117명,26명/31명
선광,자동차 차체용 신품 부품 제조업,29년 (1995년 설립),-,,"5,152만원",-,2개,206명,,
제이에스티나,시계 및 시계 부품 제조업,36년 (1988년 설립),"778억 8,000만원",주식회사,"3,857만원",www.jestina.co.kr,1개,314명,304명,88명/91명
지더블유바이텍,기타 기계 및 장비 도매업,30년 (1994년 설립),"525억 7,368만원",주식회사,"5,540만원",www.younginfrontier.com,1개,118명,97명,22명/15명
클라우드에어,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",31년 (1993년 설립),-,주식회사,"4,521만원",www.cloud-air.co.kr,1개,39명,41명,9명/5명
한국팩키지,기타 종이 및 판지 제품 제조업,18년 (2006년 설립),-,주식회사,"3,781만원",-,1개,9명,3명,4명/1명
삼지전자,기타 전자 부품 제조업,43년 (1981년 설립),"435억 6,391만원",주식회사,"5,181만원",www.samjielec.co.kr,1개,103명,109명,34명/34명
